Disaster Type,Country,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Storm,United States of America,Americas,2023,2023,,,,,1300000,1300000
Storm,Bangladesh,Asia,2023,2023,10,,,,,
Storm,Thailand,Asia,2023,2023,,,22200,22200,,
Storm,Sri Lanka,Asia,2023,2023,,,910,910,,
Flood,Brazil,Americas,2023,2023,,,9348,9348,,
Flood,Kenya,Africa,2023,2023,,,22500,22500,,
Flood,Uganda,Africa,2023,2023,23,16,1000,1016,,
Flood,Viet Nam,Asia,2023,2023,,,6540,6540,,
Flood,Pakistan,Asia,2023,2023,12,3,,3,,
Flood,Rwanda,Africa,2023,2023,131,77,51905,51982,,
Earthquake,China,Asia,2023,2023,,10,8400,8410,30000,30000
Flood,Italy,Europe,2023,2023,2,,500,500,,
Flood,Canada,Americas,2023,2023,2,,1000,1000,,
Earthquake,Japan,Asia,2023,2023,1,43,2157,2254,,
Wildfire,Canada,Americas,2023,2023,2,,30000,30000,200000,200000
Flood,Democratic Republic of the Congo,Africa,2023,2023,2830,220,50000,50220,10000,10000
Flood,China,Asia,2023,2023,,,530000,530000,95000,95000
Volcanic activity,Guatemala,Americas,2023,2023,,,1054,1054,,
Storm,United States of America,Americas,2023,2023,1,,,,2200000,2200000
Wildfire,Russian Federation,Europe,2023,2023,21,,15000,15000,50000,50000
Storm,Sierra Leone,Africa,2023,2023,15,17,,17,,
Flood,Afghanistan,Asia,2023,2023,4,25,1500,1525,,
Flood,Czechia,Europe,2023,2023,,,,,,
Flood,Italy,Europe,2023,2023,15,,46000,46000,9750000,9750000
Storm,Bangladesh,Asia,2023,2023,3,12,750000,750012,1000,1000
Storm,India,Asia,2023,2023,,,1000,1000,,
Storm,Myanmar,Asia,2023,2023,148,132,1200000,1200132,2240000,2240000
Flood,Somalia,Africa,2023,2023,22,,468000,468000,,
Extreme temperature,Mongolia,Asia,2023,2023,2,,5100,5100,,
Storm,Guam,Oceania,2023,2023,2,,100000,100000,4300000,4300000
