Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Mass movement (wet),Landslide (wet),Georgia,Western Asia,Asia,2023,2023,18,,,,,
Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,2023,2023,,21,,399,35000,35000
Climatological,Wildfire,Wildfire (General),United States of America,Northern America,Americas,2023,2023,128,,7695,7695,5500000,5500000
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,2023,2023,,66,600,666,,
Meteorological,Storm,Storm (General),China,Eastern Asia,Asia,2023,2023,5,18,849,867,,
Climatological,Wildfire,Wildfire (General),France,Western Europe,Europe,2023,2023,,51,90,141,,
Hydrological,Mass movement (wet),Landslide (wet),Myanmar,South-eastern Asia,Asia,2023,2023,39,,,,,
Climatological,Wildfire,Wildfire (General),United States of America,Northern America,Americas,2023,2023,2,1,720,802,,
Climatological,Wildfire,Forest fire,Greece,Southern Europe,Europe,2023,2023,20,,,,200000,200000
Hydrological,Flood,Flood (General),Chile,Latin America and the Caribbean,Americas,2023,2023,3,,32000,32000,1100000,1100000
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,16,,,,,
Hydrological,Mass movement (wet),Landslide (wet),India,Southern Asia,Asia,2023,2023,10,,605,605,,
Hydrological,Mass movement (wet),Landslide (wet),India,Southern Asia,Asia,2023,2023,26,2,,2,,
Hydrological,Flood,Flash flood,China,Eastern Asia,Asia,2023,2023,27,,,,,
Meteorological,Storm,Tropical cyclone,Dominican Republic,Latin America and the Caribbean,Americas,2023,2023,3,,289083,289083,,
Biological,Epidemic,Bacterial disease,Congo,Sub-Saharan Africa,Africa,2023,2023,52,1752,84240,85992,,
Meteorological,Storm,Tropical cyclone,Cuba,Latin America and the Caribbean,Americas,2023,2023,,,,,,
Meteorological,Storm,Tropical cyclone,United States of America,Northern America,Americas,2023,2023,5,,,,3500000,3500000
Meteorological,Storm,Tropical cyclone,China,Eastern Asia,Asia,2023,2023,1,2,,2,690000,690000
Meteorological,Storm,Tropical cyclone,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2023,2023,,86,,86,,
Meteorological,Storm,Tropical cyclone,Philippines,South-eastern Asia,Asia,2023,2023,4,3,900000,900003,33000,33000
Hydrological,Flood,Flood (General),Tajikistan,Central Asia,Asia,2023,2023,21,,,,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,2023,2023,6,101,89500,89601,,
Biological,Epidemic,Viral disease,Kyrgyzstan,Central Asia,Asia,2023,2023,,3618,,3618,,
Hydrological,Flood,Flood (General),Guinea,Sub-Saharan Africa,Africa,2023,2023,8,937,24135,25072,,
Hydrological,Flood,Flood (General),Mauritania,Sub-Saharan Africa,Africa,2023,2023,1,,7200,7200,,
Hydrological,Flood,Flood (General),Algeria,Northern Africa,Africa,2023,2023,8,218,1450,1668,,
Hydrological,Flood,Flood (General),Spain,Southern Europe,Europe,2023,2023,3,,6000,6000,370000,370000
Hydrological,Flood,Flood (General),Bulgaria,Eastern Europe,Europe,2023,2023,4,,4000,4000,,
Hydrological,Flood,Flood (General),Greece,Southern Europe,Europe,2023,2023,17,,5260,5260,,
Hydrological,Flood,Flood (General),Türkiye,Western Asia,Asia,2023,2023,8,31,,31,,
Geophysical,Earthquake,Ground movement,Morocco,Northern Africa,Africa,2023,2023,2946,5674,840000,845674,7000000,7000000
Hydrological,Flood,Flood (General),Indonesia,South-eastern Asia,Asia,2023,2023,,,14500,14500,,
Meteorological,Storm,Tropical cyclone,Argentina,Latin America and the Caribbean,Americas,2023,2023,,,6000,6000,,
Meteorological,Storm,Tropical cyclone,Brazil,Latin America and the Caribbean,Americas,2023,2023,46,924,341000,341924,705000,705000
Meteorological,Storm,Lightning/Thunderstorms,India,Southern Asia,Asia,2023,2023,12,14,1060,1074,,
Meteorological,Storm,Tropical cyclone,Japan,Eastern Asia,Asia,2023,2023,3,,3600,3600,,
Meteorological,Storm,Storm (General),Libya,Northern Africa,Africa,2023,2023,12352,,1600000,1600000,6200000,6200000
Hydrological,Flood,Flash flood,China,Eastern Asia,Asia,2023,2023,,,,,,
Hydrological,Flood,Flash flood,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia,2023,2023,,119,,119,,
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,2023,2023,11,,5000,5000,,
