Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Subregion,Region,Location,Origin,Magnitude,Magnitude Scale,Start Year,End Year,Total Deaths,No. Injured,No. Affected,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)"
Hydrological,Flood,Flood (General),Ecuador,Latin America and the Caribbean,Americas,"Chone Canton (Manabí); Guayas; Los Ríos, Santa Elena, Cotopaxi, El Oro, Santo Domingo de Los Tsáchilas, Imbabura, Esmeraldas, and Chimborazo",,,Km2,2023,2023,30,37,66727,66764,205000,205000
Meteorological,Storm,Severe weather,Indonesia,South-eastern Asia,Asia,"Konawe Regency, Southeast Sulawesi and Central Sulawesi provinces",,,Kph,2023,2023,1,3,650,653,,
Meteorological,Storm,Tropical cyclone,Vanuatu,Melanesia,Oceania,"Sanma, Penama, Malampa, Shefa and Tafea Provinces",,,Kph,2023,2023,,,251356,251356,,
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,"Daguragu, Kalkarindji, Pigeon Hole and Palumpa in the Victoria Daly Region",Heavy rains,,Km2,2023,2023,,,700,700,,
Meteorological,Storm,Severe weather,United States of America,Northern America,Americas,"Monterey, Merced and Tulare Counties (California); Nevada",,,Kph,2023,2023,3,,551,551,255000,255000
Hydrological,Flood,Flood (General),Peru,Latin America and the Caribbean,Americas,"Cajamarca, La Libertad, Lambayeque, Ancash, Lima, Piura, Arequipa and Tumbes, departments.","Heavy rains, cyclone Yaku",,Km2,2023,2023,71,,410000,410000,,
Hydrological,Flood,Flood (General),Australia,Australia and New Zealand,Oceania,"Burketown, Riversleigh, Gregory Downs, Doomadgee, and Normanton Towns (northern Queensland)",Heavy rains,,Km2,2023,2023,,,170,170,,
Biological,Epidemic,Bacterial disease,South Sudan,Sub-Saharan Africa,Africa,Malakal (Upper Nile state),,,,2023,2023,1,178,,178,,
Hydrological,Flood,Flood (General),Türkiye,Western Asia,Asia,Adiyaman and Sanliurfa provinces,,,Km2,2023,2023,19,,,,25000,25000
Geophysical,Earthquake,Ground movement,Ecuador,Latin America and the Caribbean,Americas,"El Oro, Guayas, and Azuay",,6.8,Moment Magnitude,2023,2023,14,494,126922,127416,,
Geophysical,Earthquake,Ground movement,Peru,Latin America and the Caribbean,Americas,Tumbes,,6.8,Moment Magnitude,2023,2023,1,1,140,141,,
Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,Hindu Kush Mountain,,6.5,Moment Magnitude,2023,2023,5,80,3265,3345,,
Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,Khyber Pakhtunkhwa,,6.5,Moment Magnitude,2023,2023,11,79,860,939,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Ceara, Maranhao, Para, Pernambuco, and Piau States",,,Km2,2023,2023,6,,2400,2400,50000,50000
Hydrological,Flood,Flash flood,Pakistan,Southern Asia,Asia,"Awaran, Zhob and Khuzdar Districts (Balochistan Province)",Heavy rains,,Km2,2023,2023,10,,,,,
Hydrological,Flood,Flood (General),Syrian Arab Republic,Western Asia,Asia,Aleppo and Idlib governorates,Heavy rains,,Km2,2023,2023,,1,2850,2851,,
Meteorological,Storm,Severe weather,India,Southern Asia,Asia,"Khandwa, Sagar, Satna, Raisen, Narmadapura, Dhar, Ratlam, Ashok Nagar and Damoh (Madhya Pradesh State)",,,Kph,2023,2023,16,14,,14,,
Biological,Epidemic,Bacterial disease,Nigeria,Sub-Saharan Africa,Africa,"Kano, Yobe, Katsina, Sokoto, Enugu, Osun, Kaduna, Lagos, Zamfara, Bauchi, Gombe, Lagos, Yobe, Borno, Jigawa, Niger, Cross River, Imo, Kebbi, Nasarawa and the Federal Capitol Territory",,,,2023,2023,562,9486,,9486,,
Geophysical,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,Khoy City (West Azerbaijan Province),,5.6,Moment Magnitude,2023,2023,,239,,239,,
Hydrological,Flood,Flash flood,Somalia,Sub-Saharan Africa,Africa,"Baardheere District (Gedo Region); Galmudug, Hirshabelle, Jubaland, Puntland, South West State, Somaliland States",Gu rainy season,,Km2,2023,2023,21,2,100001,100003,,
Hydrological,Flood,Flood (General),Pakistan,Southern Asia,Asia,"Mardan, Peshawar, South Waziristan and Khybe districts ( Khyber Pakhtunkhwa Province)",Heavy rains,,Km2,2023,2023,14,,50,50,,
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, Santa Cruz de la Sierra municipalities (Santa Cruz Department)",Heavy rains,,Km2,2023,2023,3,,9960,9960,,
Meteorological,Storm,Tornado,United States of America,Northern America,Americas,"Rolling Fork, Silver City, Winona, Sharkey, Smithville, Amory and Montgomery (Mississippi); Alabama, Georgia, Tennessee",,,Kph,2023,2023,25,72,6000,7011,2900000,2900000
Hydrological,Mass movement (wet),Landslide (wet),Ecuador,Latin America and the Caribbean,Americas,"Alausí, La Esperanza, Control Norte, Nuevo Alausí, Pircapamba and Buain (Chimborazo Province)",Heavy rains,,,2023,2023,75,44,8400,8444,,
Hydrological,Flood,Flood (General),Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,Cobija City (Pando Department),Heavy rains,,Km2,2023,2023,,,1500,1500,,
Hydrological,Flood,Flood (General),Brazil,Latin America and the Caribbean,Americas,"Brasileia, Assis Brasil, Xapuri, Rio Branco, Epitaciolândia Municipalities (Acre); Manaus Municipality (Amazonas)",Heavy rains,,Km2,2023,2023,,,15000,15000,20000,20000
Hydrological,Flood,Flood (General),South Africa,Sub-Saharan Africa,Africa,"Ingquza Hill, King Sabata Dalindyebo and Port St Johns (Easter Cape Province)",Heavy rains,,Km2,2023,2023,3,,500,500,,
